a,b,c,d,e,f,g,h,i,j
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,20,-1,-1
-1,-1,1392.5066121137343,1689.4987881231634,-1,-1,-1,-1,-1,-1
0.2810995065699987,0.002852701126028895
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1392.5066121137343,-1,-1,-1,20,-1,-1
-1,-1,1392.5066121137343,1689.4987881231634,-1,-1,-1,-1,-1,-1
0.2810995065699987,0.002852701126028895
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,20,-1,-1
-1,-1,1392.5066121137343,1689.4987881231634,-1,-1,-1,-1,-1,-1
0.2810995065699987,0.002852701126028895
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,20,-1,-1
-1,-1,1392.5066121137343,1689.4987881231634,-1,-1,-1,-1,-1,-1
0.2810995065699987,0.002852701126028895
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,46.088547613687254,-1,-1,-1,-1
0.27898726112199346,0.0027236930370215322
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
0.2743685108311936,0.0003364126020610113
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
0.2743685108311936,0.0003364126020610113
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
0.2743685108311936,0.0003364126020610113
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.25831419761232527,0.000829615060474387
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.25831419761232527,0.000829615060474387
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.2547035884691523,0.0007305651225413764
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,501.530084085447
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
0.24696457283943346,0.00022325877170590528
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,501.530084085447
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
0.24696457283943346,0.00022325877170590528
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
0.24051047728313207,2.744228863963701e-05
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
0.2362534735307122,0.0002472090401809194
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
0.2362534735307122,0.0002472090401809194
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1541.0027001184487,-1,-1,-1,-1,-1,-1
0.23402571704913114,1.4471864007743576e-05
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,20,-1,-1
-1,-1,1095.514436104305,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.23162495694575286,0.0004219408550289953
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.229921262403938,0.00013027923302766971
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.229921262403938,0.00013027923302766971
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.229921262403938,0.00013027923302766971
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.229921262403938,0.00013027923302766971
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.229921262403938,0.00013027923302766971
-1,140,1837.994876127878,1986.4909641325926,1.1162021160952946,158.5194113576671,50,130,947.0183480995906,1095.514436104305
-1,70,1244.0105241090198,1986.4909641325926,23.602374864891274,91.0608931112792,10,130,1095.514436104305,2283.4831401420215
0,120,2134.987052137307,2431.979228146736,23.602374864891274,68.57472036248322,60,80,501.530084085447,1986.4909641325926
0.22688953931245032,1.5987168534910303e-05
-1,140,1837.994876127878,1986.4909641325926,1.1162021160952946,158.5194113576671,50,130,947.0183480995906,1095.514436104305
-1,70,1244.0105241090198,1986.4909641325926,23.602374864891274,91.0608931112792,10,130,-1,2283.4831401420215
0,120,1986.4909641325926,2134.987052137307,23.602374864891274,68.57472036248322,60,80,501.530084085447,1986.4909641325926
0.22688953931245032,1.5987168534910303e-05
-1,140,1837.994876127878,1986.4909641325926,1.1162021160952946,158.5194113576671,50,130,947.0183480995906,1095.514436104305
-1,70,1244.0105241090198,1986.4909641325926,23.602374864891274,91.0608931112792,10,130,1095.514436104305,2283.4831401420215
0,120,2134.987052137307,2431.979228146736,23.602374864891274,68.57472036248322,60,80,501.530084085447,1986.4909641325926
0.22688953931245032,1.5987168534910303e-05
-1,140,1837.994876127878,1986.4909641325926,1.1162021160952946,158.5194113576671,50,130,947.0183480995906,1095.514436104305
-1,70,1244.0105241090198,1986.4909641325926,23.602374864891274,91.0608931112792,10,130,1095.514436104305,2283.4831401420215
0,120,2134.987052137307,2431.979228146736,23.602374864891274,68.57472036248322,60,80,501.530084085447,1986.4909641325926
0.22688953931245032,1.5987168534910303e-05
40,140,1541.0027001184487,1541.0027001184487,68.57472036248322,181.00558410646306,-1,30,353.0339960807323,501.530084085447
30,50,-1,2431.979228146736,68.57472036248322,113.54706586007516,20,90,-1,798.5222600948761
60,140,353.0339960807323,650.0261720901615,0,225.97792960405502,30,110,-1,947.0183480995906
0.22602624789837,9.828879166752026e-06
40,140,1541.0027001184487,1541.0027001184487,68.57472036248322,181.00558410646306,-1,30,353.0339960807323,501.530084085447
30,50,-1,2431.979228146736,68.57472036248322,113.54706586007516,20,90,-1,798.5222600948761
60,140,353.0339960807323,650.0261720901615,0,225.97792960405502,30,110,-1,947.0183480995906
0.22602624789837,9.828879166752026e-06
110,120,1244.0105241090198,1392.5066121137343,136.03323860887113,158.5194113576671,30,40,650.0261720901615,1244.0105241090198
40,130,501.530084085447,1689.4987881231634,1.1162021160952946,203.49175685525904,60,120,1837.994876127878,2283.4831401420215
30,90,-1,947.0183480995906,23.602374864891274,158.5194113576671,20,50,1095.514436104305,1095.514436104305
0.22602624789837,9.828879166752026e-06
70,100,353.0339960807323,1689.4987881231634,203.49175685525904,225.97792960405502,50,70,650.0261720901615,947.0183480995906
40,70,1244.0105241090198,2431.979228146736,0,248.464102352851,10,130,-1,947.0183480995906
30,140,353.0339960807323,1392.5066121137343,23.602374864891274,181.00558410646306,10,20,1095.514436104305,2431.979228146736
0.225637165987764,7.540639133741866e-06
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,798.5222600948761,-1,-1,-1,-1,-1,650.0261720901615
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
0.2226247292951507,3.810317420159388e-05
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,798.5222600948761,-1,-1,-1,-1,-1,-1
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
0.2226247292951507,3.810317420159388e-05
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
0.21877610911601453,0.00023797227981579876
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
0.20865893163247923,0.00018050761810489718
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,501.530084085447
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
0.20865893163247923,0.00018050761810489718
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
