a,b,c,d,e,f,g,h,i,j,k,l,m,expectation,variance
60,120,700,1800,95,200,50,100,2,1,0,2,1,-0.23538952,0
20,120,700,700,100,150,99,99,2,1,0,2,2,0.653143555,0
30,140,0,3000,105,120,95,95,2,1,0,2,3,0.543853767,0
10,30,1000,1400,110,120,50,105,2,1,0,3,0,-0.23538952,0
20,100,700,1500,90,200,80,150,2,1,0,3,1,0.606955647,0
130,130,600,1400,60,120,98,120,2,1,0,3,2,-0.169791601,0
30,120,700,1300,50,130,50,150,2,1,0,3,3,0.511909663,0
0,40,0,1200,50,110,50,99,2,1,1,0,0,-0.23538952,0
90,120,300,3000,100,120,90,98,2,1,1,0,1,-0.23538952,0
50,110,800,1800,70,100,99,103,2,1,1,0,2,-0.23538952,0
10,110,300,1400,105,200,80,105,2,1,1,0,3,-0.228757507,0
100,150,600,600,50,120,0,101,2,1,1,1,0,-0.23538952,0
60,110,900,1300,90,200,50,80,2,1,1,1,1,-0.23538952,0
30,120,2000,3000,95,140,50,102,2,1,1,1,2,-0.23538952,0
20,30,600,600,105,200,50,105,2,1,1,1,3,-0.284848146,0
30,80,0,1200,95,140,95,100,2,1,1,2,0,0.027979117,0
60,110,600,900,90,130,102,120,2,1,1,2,1,-0.23538952,0
90,110,700,1200,50,50,98,120,2,1,1,2,2,-0.23538952,0
10,80,1000,1500,0,120,105,105,2,1,1,2,3,-0.23538952,0
30,140,800,1000,60,90,50,110,2,1,1,3,0,-0.23538952,0
60,110,300,2000,80,150,100,102,2,1,1,3,1,-0.23538952,0
50,110,300,500,50,60,97,98,2,1,1,3,2,-0.23538952,0
0,140,300,1500,160,160,97,100,2,1,1,3,3,-0.079985006,0
10,100,300,1500,70,100,0,0,2,1,2,0,0,-0.300252762,0
60,120,0,1400,70,150,102,150,2,1,2,0,1,-0.23538952,0
40,80,1100,1500,0,130,0,90,2,1,2,0,2,-0.23538952,0
90,110,1100,3000,0,120,99,100,2,1,2,0,3,-0.23538952,0
90,120,1200,3000,50,130,95,98,2,1,2,1,0,-0.23538952,0
30,70,1000,1400,130,130,97,150,2,1,2,1,1,-0.23538952,0
80,110,300,1200,50,160,97,105,2,1,2,1,2,-0.23538952,0
140,150,600,1200,100,100,0,95,2,1,2,1,3,-0.23538952,0
10,150,700,1000,80,140,110,120,2,1,2,2,0,-0.23538952,0
20,90,800,3000,0,80,95,150,2,1,2,2,1,-0.23538952,0
10,140,900,1800,50,140,90,110,2,1,2,2,2,-0.447071655,0
0,80,0,1800,105,110,103,110,2,1,2,2,3,-0.23538952,0
0,120,700,1400,60,110,98,103,2,1,2,3,0,-0.176245152,0
10,100,1300,1500,60,160,110,150,2,1,2,3,1,-0.23538952,0
90,110,0,300,95,105,99,99,2,1,2,3,2,-0.23538952,0
50,60,500,1100,80,130,0,120,2,1,2,3,3,-0.23538952,0
30,60,700,800,60,130,102,103,2,1,3,0,0,-0.23538952,0
10,30,800,1200,90,160,0,90,2,1,3,0,1,-0.23538952,0
20,150,700,1400,0,70,90,110,2,1,3,0,2,-0.23538952,0
10,70,500,700,140,160,80,90,2,1,3,0,3,-0.23538952,0
0,100,800,1000,95,100,97,120,2,1,3,1,0,-0.23538952,0
70,100,600,1200,120,200,97,120,2,1,3,1,1,-0.23538952,0
0,10,300,3000,50,60,100,102,2,1,3,1,2,-0.23538952,0
20,70,300,1000,0,150,110,150,2,1,3,1,3,-0.23538952,0
40,150,700,1100,110,200,0,99,2,1,3,2,0,-0.23538952,0
40,60,500,1100,70,95,50,99,2,1,3,2,1,-0.23538952,0
30,80,0,600,110,160,90,101,2,1,3,2,2,-0.274927008,0
0,0,1200,1400,0,95,0,97,2,1,3,2,3,-0.23538952,0
50,70,0,2000,110,130,50,99,2,1,3,3,0,-0.23538952,0
10,20,600,1300,110,130,110,120,2,1,3,3,1,-0.23538952,0
40,40,500,1400,100,140,110,150,2,1,3,3,2,-0.23538952,0
60,100,1400,1400,70,90,90,100,2,1,3,3,3,-0.23538952,0
20,60,300,1500,60,130,0,100,2,2,0,0,0,0.989654261,0
0,20,700,1000,50,60,50,150,2,2,0,0,1,-0.23538952,0
10,130,300,3000,0,150,80,150,2,2,0,0,2,0.903965493,0
10,50,700,1400,150,150,99,99,2,2,0,0,3,0.886677349,0
90,120,1400,1500,60,110,80,120,2,2,0,1,0,-0.23538952,0
60,130,1400,1800,100,110,99,105,2,2,0,1,1,-0.23538952,0
100,110,500,1100,0,95,80,100,2,2,0,1,2,-0.23538952,0
20,60,0,1100,0,140,80,102,2,2,0,1,3,0.852930251,0
100,120,1000,1400,70,120,95,150,2,2,0,2,0,-0.23538952,0
70,140,500,600,70,95,90,102,2,2,0,2,1,-0.23538952,0
50,50,800,1000,70,105,97,102,2,2,0,2,2,-0.070794964,0
70,100,600,800,60,105,50,98,2,2,0,2,3,-0.23538952,0
70,100,700,700,120,120,50,90,2,2,0,3,0,-0.23538952,0
30,150,1500,3000,50,100,97,101,2,2,0,3,1,-0.23538952,0
50,70,1000,1100,80,95,50,90,2,2,0,3,2,-0.23538952,0
20,120,500,2000,60,140,0,103,2,2,0,3,3,0.873417172,0
40,70,0,1400,110,160,0,97,2,2,1,0,0,-0.23538952,0
40,140,800,3000,50,80,101,110,2,2,1,0,1,-0.23538952,0
100,130,1500,3000,90,120,80,95,2,2,1,0,2,-0.23538952,0
10,150,2000,3000,50,160,90,98,2,2,1,0,3,-0.23538952,0
50,90,300,1100,90,110,50,97,2,2,1,1,0,-0.23538952,0
80,80,800,1300,0,160,50,110,2,2,1,1,1,0.844376334,0
20,70,0,800,50,60,50,97,2,2,1,1,2,-0.23538952,0
50,100,500,1800,50,120,95,95,2,2,1,1,3,-0.23538952,0
0,130,2000,2000,60,200,101,102,2,2,1,2,0,-0.23538952,0
20,130,1200,2000,0,80,110,110,2,2,1,2,1,-0.23538952,0
30,40,1000,3000,80,130,101,110,2,2,1,2,2,-0.23538952,0
10,80,1400,1500,95,100,0,95,2,2,1,2,3,-0.23538952,0
20,30,300,300,90,110,80,98,2,2,1,3,0,-0.23538952,0
30,130,700,700,130,140,95,150,2,2,1,3,1,-0.23538952,0
110,150,900,1800,60,120,100,101,2,2,1,3,2,-0.23538952,0
10,100,800,3000,0,50,80,90,2,2,1,3,3,-0.23538952,0
70,140,1200,1200,0,110,103,103,2,2,2,0,0,-0.23538952,0
10,60,300,1800,0,95,100,105,2,2,2,0,1,-0.23538952,0
30,70,700,1300,70,150,120,120,2,2,2,0,2,-0.028673188,0
90,150,0,1500,0,120,80,105,2,2,2,0,3,-0.23538952,0
90,90,900,2000,95,95,100,110,2,2,2,1,0,-0.201544004,0
100,100,0,1800,100,120,90,150,2,2,2,1,1,0.023699287,0
20,20,300,1200,95,150,0,110,2,2,2,1,2,-0.075461146,0
20,90,600,700,50,60,95,95,2,2,2,1,3,-0.23538952,0
30,70,800,1000,105,105,50,105,2,2,2,2,0,0.126380127,0
30,40,500,1400,50,150,98,101,2,2,2,2,1,0.014174249,0
110,140,500,3000,200,200,101,101,2,2,2,2,2,-0.23538952,0
50,120,1500,3000,70,150,102,150,2,2,2,2,3,-0.23538952,0
0,150,1100,1200,105,120,80,120,2,2,2,3,0,-0.23538952,0
0,60,600,900,80,110,50,100,2,2,2,3,1,0.085979398,0
0,140,500,1200,120,150,100,150,2,2,2,3,2,-0.23538952,0
40,50,3000,3000,100,140,0,100,2,2,2,3,3,-0.082109951,0
20,100,500,1000,110,160,50,80,2,2,3,0,0,-0.23538952,0
0,110,1400,1800,70,100,95,99,2,2,3,0,1,-0.23538952,0
20,150,1200,1400,50,60,50,103,2,2,3,0,2,-0.23538952,0
60,150,1100,1800,50,95,80,95,2,2,3,0,3,-0.23538952,0
40,130,800,1200,80,200,95,100,2,2,3,1,0,-0.236405324,0
0,10,600,1200,60,95,103,110,2,2,3,1,1,-0.23538952,0
70,90,0,2000,0,140,95,101,2,2,3,1,2,-0.23538952,0
20,90,1000,2000,90,110,95,100,2,2,3,1,3,-0.23538952,0
80,90,1800,2000,80,160,90,150,2,2,3,2,0,-0.23538952,0
10,30,1400,3000,50,160,90,95,2,2,3,2,1,-0.23538952,0
10,100,1100,1200,70,160,99,101,2,2,3,2,2,-0.23538952,0
140,150,0,1000,70,120,0,110,2,2,3,2,3,-0.23538952,0
30,120,300,1000,70,150,100,150,2,2,3,3,0,-0.161355652,0
10,150,0,1500,130,160,97,97,2,2,3,3,1,-0.23538952,0
10,30,1000,3000,0,105,100,103,2,2,3,3,2,-0.23538952,0
10,50,700,700,80,160,80,102,2,2,3,3,3,-0.354396457,0
60,90,1000,1400,100,120,101,103,2,3,0,0,0,-0.23538952,0
10,80,0,900,105,160,0,120,2,3,0,0,1,0.956398344,0
