Date,Ship number,source,https://www.jsanet.or.jp/data/pdf/2018data50-1.pdf
2004/12/1,3295,,
2005/12/1,3563,,
2006/12/1,3922,,
2007/12/1,4303,,
2008/12/1,4659,,
2009/12/1,4747,,
2010/12/1,4905,,
2011/12/1,5056,,
2012/12/1,5060,,
2013/12/1,5082,,
2014/12/1,5103,,
2015/12/1,5214,,
