Date,Ship number,source,https://www.jsanet.or.jp/data/pdf/2018data50-1.pdf,,,,Ship number
2013/5/1,16587.25,4,,5069.166667,7,,5069.166667
2013/6/1,16665.5,5,,5071,6,,5071
2013/7/1,16743.75,6,,5072.833333,5,,5072.833333
2013/8/1,16822,7,,5074.666667,4,,5074.666667
2013/9/1,16900.25,8,,5076.5,3,,5076.5
2013/10/1,16978.5,9,,5078.333333,2,,5078.333333
2013/11/1,17056.75,10,,5080.166667,1,,5080.166667
2013/12/1,17135,11,1.833333333,5082,,,5082
2014/1/1,17218.83333,0,5103,5083.75,11,,5083.75
2014/2/1,17302.66667,1,,5085.5,10,,5085.5
2014/3/1,17386.5,2,,5087.25,9,,5087.25
2014/4/1,17470.33333,3,,5089,8,,5089
2014/5/1,17554.16667,4,,5090.75,7,,5090.75
2014/6/1,17638,5,,5092.5,6,,5092.5
2014/7/1,17721.83333,6,,5094.25,5,,5094.25
2014/8/1,17805.66667,7,,5096,4,,5096
2014/9/1,17889.5,8,,5097.75,3,,5097.75
2014/10/1,17973.33333,9,,5099.5,2,,5099.5
2014/11/1,18057.16667,10,,5101.25,1,,5101.25
2014/12/1,18141,11,1.75,5103,,,5103
