id,name,Pitch Ration (P/D),Expanded Area Ratio (EAR),Propeller Blade Number (Z),Rn,D,KT0,KT1,KT2,KQ0,KQ1,KQ2
48,P_8846,0.88,0.588,4,45750711.07,9.8,0.387088043,-0.289089898,-0.118719221,0.048389849,-0.027631611,-0.020164779
49,P_8847,0.88,0.588,4,45750711.07,10,0.387088043,-0.289089898,-0.118719221,0.048389849,-0.027631611,-0.020164779
50,P_8848,0.88,0.596,4,45750711.07,8.8,0.388318386,-0.291946749,-0.117751822,0.048642031,-0.028240952,-0.019897264
51,P_8849,0.88,0.596,4,45750711.07,9,0.388318386,-0.291946749,-0.117751822,0.048642031,-0.028240952,-0.019897264
52,P_8850,0.88,0.596,4,45750711.07,9.2,0.388318386,-0.291946749,-0.117751822,0.048642031,-0.028240952,-0.019897264
53,P_8851,0.88,0.596,4,45750711.07,9.4,0.388318386,-0.291946749,-0.117751822,0.048642031,-0.028240952,-0.019897264
54,P_8852,0.88,0.596,4,45750711.07,9.6,0.388318386,-0.291946749,-0.117751822,0.048642031,-0.028240952,-0.019897264
55,P_8853,0.88,0.596,4,45750711.07,9.8,0.388318386,-0.291946749,-0.117751822,0.048642031,-0.028240952,-0.019897264
56,P_8854,0.88,0.596,4,45750711.07,10,0.388318386,-0.291946749,-0.117751822,0.048642031,-0.028240952,-0.019897264
57,P_8855,0.88,0.604,4,45750711.07,8.8,0.389538204,-0.294789245,-0.116783976,0.048891094,-0.028845676,-0.019627901
58,P_8856,0.88,0.604,4,45750711.07,9,0.389538204,-0.294789245,-0.116783976,0.048891094,-0.028845676,-0.019627901
59,P_8857,0.88,0.604,4,45750711.07,9.2,0.389538204,-0.294789245,-0.116783976,0.048891094,-0.028845676,-0.019627901
60,P_8858,0.88,0.604,4,45750711.07,9.4,0.389538204,-0.294789245,-0.116783976,0.048891094,-0.028845676,-0.019627901
61,P_8859,0.88,0.604,4,45750711.07,9.6,0.389538204,-0.294789245,-0.116783976,0.048891094,-0.028845676,-0.019627901
62,P_8860,0.88,0.604,4,45750711.07,9.8,0.389538204,-0.294789245,-0.116783976,0.048891094,-0.028845676,-0.019627901
63,P_8861,0.88,0.604,4,45750711.07,10,0.389538204,-0.294789245,-0.116783976,0.048891094,-0.028845676,-0.019627901
64,P_8862,0.88,0.612,4,45750711.07,8.8,0.390747497,-0.297617387,-0.115815683,0.049137036,-0.029445784,-0.019356691
65,P_8863,0.88,0.612,4,45750711.07,9,0.390747497,-0.297617387,-0.115815683,0.049137036,-0.029445784,-0.019356691
66,P_8864,0.88,0.612,4,45750711.07,9.2,0.390747497,-0.297617387,-0.115815683,0.049137036,-0.029445784,-0.019356691
67,P_8865,0.88,0.612,4,45750711.07,9.4,0.390747497,-0.297617387,-0.115815683,0.049137036,-0.029445784,-0.019356691
68,P_8866,0.88,0.612,4,45750711.07,9.6,0.390747497,-0.297617387,-0.115815683,0.049137036,-0.029445784,-0.019356691
69,P_8867,0.88,0.612,4,45750711.07,9.8,0.390747497,-0.297617387,-0.115815683,0.049137036,-0.029445784,-0.019356691
70,P_8868,0.88,0.612,4,45750711.07,10,0.390747497,-0.297617387,-0.115815683,0.049137036,-0.029445784,-0.019356691
71,P_8869,0.88,0.62,4,45750711.07,8.8,0.391946264,-0.300431176,-0.114846944,0.049379859,-0.030041276,-0.019083633
72,P_8870,0.88,0.62,4,45750711.07,9,0.391946264,-0.300431176,-0.114846944,0.049379859,-0.030041276,-0.019083633
73,P_8871,0.88,0.62,4,45750711.07,9.2,0.391946264,-0.300431176,-0.114846944,0.049379859,-0.030041276,-0.019083633
74,P_8872,0.88,0.62,4,45750711.07,9.4,0.391946264,-0.300431176,-0.114846944,0.049379859,-0.030041276,-0.019083633
75,P_8873,0.88,0.62,4,45750711.07,9.6,0.391946264,-0.300431176,-0.114846944,0.049379859,-0.030041276,-0.019083633
76,P_8874,0.88,0.62,4,45750711.07,9.8,0.391946264,-0.300431176,-0.114846944,0.049379859,-0.030041276,-0.019083633
77,P_8875,0.88,0.62,4,45750711.07,10,0.391946264,-0.300431176,-0.114846944,0.049379859,-0.030041276,-0.019083633
78,P_8876,0.894,0.54,4,45750711.07,8.8,0.385464347,-0.270341841,-0.124753049,0.048262639,-0.024222512,-0.021861409
79,P_8877,0.894,0.54,4,45750711.07,9,0.385464347,-0.270341841,-0.124753049,0.048262639,-0.024222512,-0.021861409
80,P_8878,0.894,0.54,4,45750711.07,9.2,0.385464347,-0.270341841,-0.124753049,0.048262639,-0.024222512,-0.021861409
81,P_8879,0.894,0.54,4,45750711.07,9.4,0.385464347,-0.270341841,-0.124753049,0.048262639,-0.024222512,-0.021861409
82,P_8880,0.894,0.54,4,45750711.07,9.6,0.385464347,-0.270341841,-0.124753049,0.048262639,-0.024222512,-0.021861409
83,P_8881,0.894,0.54,4,45750711.07,9.8,0.385464347,-0.270341841,-0.124753049,0.048262639,-0.024222512,-0.021861409
84,P_8882,0.894,0.54,4,45750711.07,10,0.385464347,-0.270341841,-0.124753049,0.048262639,-0.024222512,-0.021861409
85,P_8883,0.894,0.548,4,45750711.07,8.8,0.38681434,-0.273334757,-0.123790409,0.048546153,-0.024866361,-0.021614647
86,P_8884,0.894,0.548,4,45750711.07,9,0.38681434,-0.273334757,-0.123790409,0.048546153,-0.024866361,-0.021614647
87,P_8885,0.894,0.548,4,45750711.07,9.2,0.38681434,-0.273334757,-0.123790409,0.048546153,-0.024866361,-0.021614647
88,P_8886,0.894,0.548,4,45750711.07,9.4,0.38681434,-0.273334757,-0.123790409,0.048546153,-0.024866361,-0.021614647
89,P_8887,0.894,0.548,4,45750711.07,9.6,0.38681434,-0.273334757,-0.123790409,0.048546153,-0.024866361,-0.021614647
90,P_8888,0.894,0.548,4,45750711.07,9.8,0.38681434,-0.273334757,-0.123790409,0.048546153,-0.024866361,-0.021614647
91,P_8889,0.894,0.548,4,45750711.07,10,0.38681434,-0.273334757,-0.123790409,0.048546153,-0.024866361,-0.021614647
92,P_8890,0.894,0.556,4,45750711.07,8.8,0.388153657,-0.276313257,-0.122827361,0.048826432,-0.025505557,-0.021366034
93,P_8891,0.894,0.556,4,45750711.07,9,0.388153657,-0.276313257,-0.122827361,0.048826432,-0.025505557,-0.021366034
94,P_8892,0.894,0.556,4,45750711.07,9.2,0.388153657,-0.276313257,-0.122827361,0.048826432,-0.025505557,-0.021366034
95,P_8893,0.894,0.556,4,45750711.07,9.4,0.388153657,-0.276313257,-0.122827361,0.048826432,-0.025505557,-0.021366034
96,P_8894,0.894,0.556,4,45750711.07,9.6,0.388153657,-0.276313257,-0.122827361,0.048826432,-0.025505557,-0.021366034
97,P_8895,0.894,0.556,4,45750711.07,9.8,0.388153657,-0.276313257,-0.122827361,0.048826432,-0.025505557,-0.021366034
98,P_8896,0.894,0.556,4,45750711.07,10,0.388153657,-0.276313257,-0.122827361,0.048826432,-0.025505557,-0.021366034
99,P_8897,0.894,0.564,4,45750711.07,8.8,0.389482297,-0.279277342,-0.121863905,0.049103478,-0.026140101,-0.021115569
100,P_8898,0.894,0.564,4,45750711.07,9,0.389482297,-0.279277342,-0.121863905,0.049103478,-0.026140101,-0.021115569
101,P_8899,0.894,0.564,4,45750711.07,9.2,0.389482297,-0.279277342,-0.121863905,0.049103478,-0.026140101,-0.021115569
102,P_8900,0.894,0.564,4,45750711.07,9.4,0.389482297,-0.279277342,-0.121863905,0.049103478,-0.026140101,-0.021115569
103,P_8901,0.894,0.564,4,45750711.07,9.6,0.389482297,-0.279277342,-0.121863905,0.049103478,-0.026140101,-0.021115569
104,P_8902,0.894,0.564,4,45750711.07,9.8,0.389482297,-0.279277342,-0.121863905,0.049103478,-0.026140101,-0.021115569
105,P_8903,0.894,0.564,4,45750711.07,10,0.389482297,-0.279277342,-0.121863905,0.049103478,-0.026140101,-0.021115569
106,P_8904,0.894,0.572,4,45750711.07,8.8,0.39080026,-0.282227011,-0.12090004,0.049377289,-0.026769992,-0.020863254
107,P_8905,0.894,0.572,4,45750711.07,9,0.39080026,-0.282227011,-0.12090004,0.049377289,-0.026769992,-0.020863254
108,P_8906,0.894,0.572,4,45750711.07,9.2,0.39080026,-0.282227011,-0.12090004,0.049377289,-0.026769992,-0.020863254
109,P_8907,0.894,0.572,4,45750711.07,9.4,0.39080026,-0.282227011,-0.12090004,0.049377289,-0.026769992,-0.020863254
110,P_8908,0.894,0.572,4,45750711.07,9.6,0.39080026,-0.282227011,-0.12090004,0.049377289,-0.026769992,-0.020863254
111,P_8909,0.894,0.572,4,45750711.07,9.8,0.39080026,-0.282227011,-0.12090004,0.049377289,-0.026769992,-0.020863254
112,P_8910,0.894,0.572,4,45750711.07,10,0.39080026,-0.282227011,-0.12090004,0.049377289,-0.026769992,-0.020863254
113,P_8911,0.894,0.58,4,45750711.07,8.8,0.392107546,-0.285162265,-0.119935767,0.049647867,-0.02739523,-0.020609086
114,P_8912,0.894,0.58,4,45750711.07,9,0.392107546,-0.285162265,-0.119935767,0.049647867,-0.02739523,-0.020609086
115,P_8913,0.894,0.58,4,45750711.07,9.2,0.392107546,-0.285162265,-0.119935767,0.049647867,-0.02739523,-0.020609086
116,P_8914,0.894,0.58,4,45750711.07,9.4,0.392107546,-0.285162265,-0.119935767,0.049647867,-0.02739523,-0.020609086
117,P_8915,0.894,0.58,4,45750711.07,9.6,0.392107546,-0.285162265,-0.119935767,0.049647867,-0.02739523,-0.020609086
118,P_8916,0.894,0.58,4,45750711.07,9.8,0.392107546,-0.285162265,-0.119935767,0.049647867,-0.02739523,-0.020609086
