engine_id,engine_name,specific_engine_name,sfoc 0,sfoc 1,sfoc 2,BHP 0,BHP 1,BHP 2,max rpm,max load,sample_rpm0,sample_bhp0,sample_rpm1,sample_bhp1
1,A_60,UEC80LSE-Eco-B1,190.6,-73.9333,49.33333,53.3333333,35466.67,0,80,35520,68,30200,80,35520
2,A_57,UEC80LSE-Eco-B1,190.6,-73.9333,49.33333,53.3333333,35466.67,0,80,35520,68,30200,80,35520
3,A_54,UEC80LSE-Eco-B1,190.6,-73.9333,49.33333,53.3333333,35466.67,0,80,35520,68,30200,80,35520
