engine_id,engine_name,specific_engine_name,sfoc 0,sfoc 1,sfoc 2,BHP 0,BHP 1,BHP 2,max rpm,max load,sample_rpm0,sample_bhp0,sample_rpm1,sample_bhp1
1,A,UEC80LSE-Eco-B1,190.6,-73.9333,49.33333,53.3333333,35466.67,0,80,35520,68,30200,80,35520
2,B,UEC68LSE-Eco-1,191.6,-73.9333,49.33333,-71.66666,23591.67,0,95,23520,71,17560,95,23520
3,C,UEC60LSE-Eco-B1,192.6,-73.9333,49.33333,50.76923,19869.23,0,105,19920,79,15000,105,19920
4,D,Hiekata,205.06,-86.86,55,13682.77,-55450.1,68883.09,74,27160,70,23090,74,27160
