hull_id,Loa [m],Lpp [m],Displacement [ton],Deadweight [ton],Breadth molded (Bmld) [m],Depth molded (Dmld) [m],draft (full) [m],draft (ballast) [m],Block coefficient(Cb),Surface area [m2],EHP0 (ballast),EHP1 (ballast),EHP2 (ballast),EHP3 (ballast),EHP4 (ballast),EHP0 (full),EHP1 (full),EHP2 (full),EHP3 (full),EHP4 (full),With bow
1,333,324,341610,300610,60,29,20.529,9.74,0.83510802,27542,5387,-4640,1445,-178,9.647,5398,-4652,1452,-172.3,9.626,FALSE
2,333,324,341610,300610,60,29,20.529,9.74,0.83510802,27542,5387,-4640,1445,-178,9.647,5398,-4652,1452,-172.3,9.626,TRUE
