hull_id,engine_id,propeller_id,NPV
1,1,1,164890824.04615718
1,2,1,259055036.48793599
1,3,1,270008102.57142574
1,4,1,250406120.82693437
1,1,2,166494341.66218942
1,2,2,260130325.82743943
1,3,2,273046901.01453441
1,4,2,253961688.49798036
1,1,3,171338268.84806684
1,2,3,260227911.84239775
1,3,3,272730086.46142948
1,4,3,256166341.3048189
1,1,4,182147718.66824132
1,2,4,264340489.08100224
1,3,4,271247211.0214383
1,4,4,254010132.97444764
1,1,5,187995008.97806877
1,2,5,265334221.96046883
1,3,5,266524310.44450954
1,4,5,253797826.07876068
1,1,6,195334014.92620438
1,2,6,269872119.02789521
1,3,6,266891541.47493842
1,4,6,250681914.22452399
1,1,7,203634206.62107551
1,2,7,269359195.83218771
1,3,7,270024968.68025857
1,4,7,248457183.63405991
1,1,8,159723665.87885714
1,2,8,259055036.48793599
1,3,8,270008102.57142574
1,4,8,250396784.44814712
1,1,9,166494341.66218942
1,2,9,260130325.82743943
1,3,9,273046901.01453441
1,4,9,253961688.49798036
1,1,10,171298177.84990177
1,2,10,260227911.84239775
1,3,10,272730086.46142948
1,4,10,256166341.3048189
1,1,11,182147718.66824132
1,2,11,264340489.08100224
1,3,11,271247211.0214383
1,4,11,254010132.97444764
1,1,12,188790070.02452388
1,2,12,265334221.96046883
1,3,12,266524310.44450954
1,4,12,253797826.07876068
1,1,13,195334014.92620438
1,2,13,268394572.3666563
1,3,13,266891541.47493842
1,4,13,252626362.36925155
1,1,14,198373131.12317148
1,2,14,269359195.83218771
1,3,14,270024968.68025857
1,4,14,248508242.69600013
1,1,15,159392410.3734301
1,2,15,271822771.28922713
1,3,15,270008102.57142574
1,4,15,249563652.54216456
1,1,16,166334176.53165847
1,2,16,259447631.43530267
1,3,16,272959272.77927315
1,4,16,253961688.49798036
1,1,17,172500403.35102177
1,2,17,260227911.84239775
1,3,17,272730086.46142948
1,4,17,249349310.25406235
1,1,18,178160513.81981054
1,2,18,264340489.08100224
1,3,18,271247211.0214383
1,4,18,254010132.97444764
1,1,19,188790070.02452388
1,2,19,265334221.96046883
1,3,19,266524310.44450954
1,4,19,253797826.07876068
1,1,20,190658065.39093062
1,2,20,268394572.3666563
1,3,20,265641981.08205786
1,4,20,252626362.36925155
1,1,21,194550163.80799574
1,2,21,269359195.83218771
1,3,21,270024968.68025857
1,4,21,248508242.69600013
1,1,22,160179600.98766646
1,2,22,271822771.28922713
1,3,22,270008102.57142574
1,4,22,249563652.54216456
1,1,23,168716101.56123182
1,2,23,259447631.43530267
1,3,23,272959272.77927315
1,4,23,253961688.49798036
1,1,24,173360848.89195579
1,2,24,260227911.84239775
1,3,24,272730086.46142948
1,4,24,249349310.25406235
1,1,25,172371295.07971114
1,2,25,264340489.08100224
1,3,25,271247211.0214383
1,4,25,254010132.97444764
1,1,26,179281897.1063804
1,2,26,265334221.96046883
1,3,26,266524310.44450954
1,4,26,253797826.07876068
1,1,27,197227125.13949957
1,2,27,268394572.3666563
1,3,27,265641981.08205786
1,4,27,252626362.36925155
1,1,28,195363703.53830853
1,2,28,269359195.83218771
1,3,28,270024968.68025857
1,4,28,248508242.69600013
1,1,29,154467133.74454272
1,2,29,268706652.39433414
1,3,29,270008102.57142574
1,4,29,249563652.54216456
1,1,30,164710046.04331958
