simmulate_count,hull_id,engine_id,propeller_id,NPV
0,1,1,286,201751393.91176394,00:04:45
1,1,2,286,272309777.89104319,00:11:25
2,1,3,286,270942811.40843952,00:19:09
3,1,4,286,251514428.19160417,00:22:22
4,1,1,287,204903121.56398779,00:27:06
5,1,2,287,274091559.71867239,00:33:46
6,1,3,287,270944185.65101868,00:41:33
7,1,4,287,245311936.11706334,00:44:43
8,1,1,288,166322127.01096711,00:49:28
9,1,2,288,261014813.3354063,00:56:14
10,1,3,288,273320427.41776228,01:04:24
11,1,4,288,252291317.14745373,01:07:36
12,1,1,289,175303645.54780632,01:12:22
13,1,2,289,262689719.35793251,01:19:04
14,1,3,289,273660706.18110681,01:27:16
15,1,4,289,257730595.2148954,01:30:29
16,1,1,290,181287879.3533392,01:35:14
17,1,2,290,266862538.45682091,01:41:52
18,1,3,290,273495946.46552402,01:49:48
19,1,4,290,251764386.67792678,01:53:00
20,1,1,291,187914084.95907766,01:57:44
21,1,2,291,268372633.65283805,02:04:23
22,1,3,291,273828695.86820799,02:12:18
23,1,4,291,252713125.39971665,02:15:30
24,1,1,292,195386635.14827177,02:20:15
25,1,2,292,272737104.10318953,02:26:53
26,1,3,292,267442906.66875339,02:34:38
27,1,4,292,248426648.43196735,02:37:50
28,1,1,293,202851173.91342291,02:42:35
29,1,2,293,272173663.11315149,02:49:14
30,1,3,293,270942811.40843952,02:56:59
31,1,4,293,251514428.19160417,03:00:11
32,1,1,294,205638323.7893815,03:04:57
33,1,2,294,274572284.23904628,03:11:35
34,1,3,294,270944185.65101868,03:19:19
35,1,4,294,245311936.11706334,03:22:28
36,1,1,295,166322127.01096711,03:27:12
37,1,2,295,261014813.3354063,03:33:58
38,1,3,295,273320427.41776228,03:42:08
39,1,4,295,251489982.1809122,03:45:19
40,1,1,296,176083363.39385143,03:50:04
41,1,2,296,262822833.82593748,03:56:42
42,1,3,296,274457934.58920163,04:04:52
43,1,4,296,257730595.2148954,04:08:04
44,1,1,297,182104851.24924496,04:12:49
45,1,2,297,266862538.45682091,04:19:27
46,1,3,297,273495946.46552402,04:27:21
47,1,4,297,251764386.67792678,04:30:33
48,1,1,298,188795002.57850981,04:35:17
49,1,2,298,268372633.65283805,04:41:55
50,1,3,298,273828695.86820799,04:49:50
51,1,4,298,252713125.39971665,04:53:01
52,1,1,299,195386635.14827177,04:57:46
53,1,2,299,267847965.19760293,05:04:24
54,1,3,299,267442906.66875339,05:12:08
55,1,4,299,248426648.43196735,05:15:20
56,1,1,300,203688567.37267539,05:20:04
57,1,2,300,272173663.11315149,05:26:43
58,1,3,300,267791057.54634404,05:34:27
59,1,4,300,251514428.19160417,05:37:39
60,1,1,301,206741374.98274231,05:42:23
61,1,2,301,274572284.23904628,05:49:02
62,1,3,301,270120466.90355587,05:56:38
63,1,4,301,245311936.11706334,05:59:47
64,1,1,302,168424621.06885961,06:04:31
65,1,2,302,261014813.3354063,06:11:19
66,1,3,302,273320427.41776228,06:19:28
67,1,4,302,251489982.1809122,06:22:39
68,1,1,303,177334127.70935395,06:27:23
69,1,2,303,262822833.82593748,06:34:02
70,1,3,303,274457934.58920163,06:42:11
71,1,4,303,255920901.72363907,06:45:23
72,1,1,304,181972903.04971021,06:50:07
73,1,2,304,266862538.45682091,06:56:45
74,1,3,304,273495946.46552402,07:04:39
75,1,4,304,251764386.67792678,07:07:51
76,1,1,305,188658958.8059738,07:12:36
77,1,2,305,268372633.65283805,07:19:14
78,1,3,305,273828695.86820799,07:27:09
79,1,4,305,251994294.96800795,07:30:22
80,1,1,306,195252467.26405495,07:35:07
81,1,2,306,270968698.87990022,07:41:45
82,1,3,306,267442906.66875339,07:49:29
83,1,4,306,248426648.43196735,07:52:42
84,1,1,307,203688567.37267539,07:57:27
85,1,2,307,272173663.11315149,08:04:05
86,1,3,307,268044717.75172499,08:11:50
87,1,4,307,251514428.19160417,08:15:03
88,1,1,308,206670164.20183742,08:19:47
89,1,2,308,274572284.23904628,08:26:25
90,1,3,308,270120466.90355587,08:34:02
91,1,4,308,245311936.11706334,08:37:11
92,1,1,309,176083363.39385143,08:41:55
93,1,2,309,261759560.30506647,08:48:33
94,1,3,309,275055435.41096121,08:56:42
95,1,4,309,250971066.62512058,08:59:54
96,1,1,310,182104851.24924496,09:04:38
97,1,2,310,265930837.17165321,09:11:20
98,1,3,310,272259352.02317572,09:19:17
99,1,4,310,254648472.12823451,09:22:29
100,1,1,311,187995301.69146839,09:27:15
101,1,2,311,267771758.68247107,09:33:52
102,1,3,311,272615850.38912213,09:41:47
103,1,4,311,254660448.78113306,09:44:56
104,1,1,312,195386635.14827177,09:49:41
105,1,2,312,272241586.73398256,09:56:21
106,1,3,312,275014686.99159396,10:04:18
107,1,4,312,251377947.38485834,10:07:31
108,1,1,313,201751393.91176394,10:12:15
109,1,2,313,271801122.07099998,10:18:53
110,1,3,313,269862846.31185728,10:26:37
111,1,4,313,247411439.49460185,10:29:46
112,1,1,314,204903121.56398779,10:34:30
113,1,2,314,274091559.71867239,10:41:09
114,1,3,314,269769201.71254528,10:48:54
115,1,4,314,252628773.04648262,10:52:02
116,1,1,315,213728527.35934007,10:56:46
117,1,2,315,274091860.09200418,11:03:25
118,1,3,315,270077037.76797652,11:11:08
119,1,4,315,246861448.52269247,11:14:21
120,1,1,316,177334127.70935395,11:19:05
121,1,2,316,261759560.30506647,11:25:44
122,1,3,316,275055435.41096121,11:33:55
123,1,4,316,250971066.62512058,11:37:07
124,1,1,317,182104851.24924496,11:41:52
125,1,2,317,265930837.17165321,11:48:31
126,1,3,317,271508544.77616709,11:56:28
127,1,4,317,254648472.12823451,11:59:41
128,1,1,318,187995301.69146839,12:04:26
129,1,2,318,266838891.26895532,12:11:05
130,1,3,318,272615850.38912213,12:19:00
131,1,4,318,254660448.78113306,12:22:07
132,1,1,319,195386635.14827177,12:26:52
133,1,2,319,272241586.73398256,12:33:30
134,1,3,319,275014686.99159396,12:41:24
135,1,4,319,251377947.38485834,12:44:36
136,1,1,320,202851173.91342291,12:49:21
137,1,2,320,271801122.07099998,12:55:59
138,1,3,320,269862846.31185728,13:03:44
139,1,4,320,247411439.49460185,13:06:53
140,1,1,321,205638323.7893815,13:11:38
141,1,2,321,274091559.71867239,13:18:16
142,1,3,321,269769201.71254528,13:26:02
143,1,4,321,252628773.04648262,13:29:11
144,1,1,322,213728527.35934007,13:33:56
145,1,2,322,274091860.09200418,13:40:36
146,1,3,322,270077037.76797652,13:48:22
147,1,4,322,246861448.52269247,13:51:34
148,1,1,323,173272423.29315457,13:56:20
149,1,2,323,261759560.30506647,14:02:59
150,1,3,323,275055435.41096121,14:11:10
151,1,4,323,250971066.62512058,14:14:22
152,1,1,324,181972903.04971021,14:19:08
153,1,2,324,265930837.17165321,14:25:48
154,1,3,324,271508544.77616709,14:33:45
155,1,4,324,254648472.12823451,14:36:57
156,1,1,325,188795002.57850981,14:41:42
157,1,2,325,266838891.26895532,14:48:22
158,1,3,325,274705516.4703629,14:56:19
159,1,4,325,254660448.78113306,14:59:28
160,1,1,326,195386635.14827177,15:04:13
161,1,2,326,272241586.73398256,15:10:52
162,1,3,326,275014686.99159396,15:18:48
163,1,4,326,251377947.38485834,15:22:00
164,1,1,327,203609528.57460079,15:26:45
165,1,2,327,271801122.07099998,15:33:24
166,1,3,327,269862846.31185728,15:41:07
167,1,4,327,247411439.49460185,15:44:16
168,1,1,328,205638323.7893815,15:48:59
169,1,2,328,274091559.71867239,15:55:38
170,1,3,328,269769201.71254528,16:03:22
171,1,4,328,252628773.04648262,16:06:30
172,1,1,329,213728527.35934007,16:11:15
173,1,2,329,274091860.09200418,16:17:54
174,1,3,329,270077037.76797652,16:25:39
175,1,4,329,246865506.4205645,16:28:51
176,1,1,330,173232367.92281917,16:33:35
177,1,2,330,261759560.30506647,16:40:13
178,1,3,330,275055435.41096121,16:48:23
179,1,4,330,257153251.93248856,16:51:31
180,1,1,331,182782555.38218793,16:56:16
181,1,2,331,265930837.17165321,17:02:54
182,1,3,331,271508544.77616709,17:10:51
183,1,4,331,254648472.12823451,17:14:03
184,1,1,332,188795002.57850981,17:18:49
185,1,2,332,266838891.26895532,17:25:27
186,1,3,332,274705516.4703629,17:33:26
187,1,4,332,254660448.78113306,17:36:33
188,1,1,333,195252467.26405495,17:41:18
189,1,2,333,272241586.73398256,17:47:57
190,1,3,333,275014686.99159396,17:55:51
191,1,4,333,251377947.38485834,17:59:04
192,1,1,334,203609528.57460079,18:03:48
193,1,2,334,271801122.07099998,18:10:26
194,1,3,334,268665951.40267789,18:18:11
195,1,4,334,247411439.49460185,18:21:20
196,1,1,335,205638323.7893815,18:26:05
197,1,2,335,274091559.71867239,18:32:43
198,1,3,335,269769201.71254528,18:40:29
199,1,4,335,252628773.04648262,18:43:37
200,1,1,336,210807694.37173751,18:48:22
201,1,2,336,274091860.09200418,18:55:02
202,1,3,336,270077037.76797652,19:02:47
203,1,4,336,246865506.4205645,19:05:59
204,1,1,337,174090040.63152266,19:10:43
205,1,2,337,261759560.30506647,19:17:21
206,1,3,337,275055435.41096121,19:25:31
207,1,4,337,257153251.93248856,19:28:39
208,1,1,338,182782555.38218793,19:33:24
209,1,2,338,265930837.17165321,19:40:04
210,1,3,338,271508544.77616709,19:47:59
211,1,4,338,254648472.12823451,19:51:12
212,1,1,339,188658958.8059738,19:55:56
213,1,2,339,266838891.26895532,20:02:35
214,1,3,339,274705516.4703629,20:10:30
215,1,4,339,254660448.78113306,20:13:38
216,1,1,340,195252467.26405495,20:18:23
217,1,2,340,272241586.73398256,20:25:03
218,1,3,340,275014686.99159396,20:32:58
219,1,4,340,251377947.38485834,20:36:11
220,1,1,341,203609528.57460079,20:40:56
221,1,2,341,271801122.07099998,20:47:33
222,1,3,341,268665951.40267789,20:55:01
223,1,4,341,247411439.49460185,20:58:03
224,1,1,342,206741374.98274231,21:02:37
225,1,2,342,274091559.71867239,21:09:01
226,1,3,342,269769201.71254528,21:16:28
227,1,4,342,253319894.29648179,21:19:28
