simmulate_count,hull_id,engine_id,propeller_id,NPV
0,1,1,568,182020611.52737984,00:04:46
1,1,2,568,266838891.26895532,00:11:26
2,1,3,568,267697286.17553464,00:19:13
3,1,4,568,250518707.70320874,00:22:26
4,1,1,569,192517422.19171166,00:27:12
5,1,2,569,271352033.48042315,00:33:53
6,1,3,569,268060089.30538946,00:41:40
7,1,4,569,253238594.45223665,00:44:53
8,1,1,570,199165066.77231127,00:49:39
9,1,2,570,270844101.29689556,00:56:18
10,1,3,570,269201612.61423343,01:04:03
11,1,4,570,246365823.71227345,01:07:16
12,1,1,571,203838577.69209966,01:12:03
13,1,2,571,273157491.97379166,01:18:45
14,1,3,571,271569744.39625365,01:26:32
15,1,4,571,249386426.74496749,01:29:45
16,1,1,572,210787021.41635156,01:34:31
17,1,2,572,274091860.09200418,01:41:11
18,1,3,572,270270893.88593119,01:48:50
19,1,4,572,245748447.24160084,01:51:59
20,1,1,573,215632505.5253503,01:56:45
21,1,2,573,274568826.61410099,02:03:14
22,1,3,573,271309649.99252373,02:10:54
23,1,4,573,247668423.07396412,02:14:03
24,1,1,574,216342387.45855623,02:18:40
25,1,2,574,275514203.5945946,02:25:10
26,1,3,574,271823005.02932382,02:32:50
27,1,4,574,241783464.23950303,02:36:03
28,1,1,575,182020611.52737984,02:40:49
29,1,2,575,266838891.26895532,02:47:32
30,1,3,575,267697286.17553464,02:55:18
31,1,4,575,250518707.70320874,02:58:31
32,1,1,576,188758863.4766494,03:03:17
33,1,2,576,271352033.48042315,03:09:58
34,1,3,576,268060089.30538946,03:17:43
35,1,4,576,253238594.45223665,03:20:56
36,1,1,577,196209551.5159618,03:25:42
37,1,2,577,270844101.29689556,03:32:21
38,1,3,577,269201612.61423343,03:40:07
39,1,4,577,246365823.71227345,03:43:21
40,1,1,578,204525813.91886613,03:48:06
41,1,2,578,273157491.97379166,03:54:46
42,1,3,578,271569744.39625365,04:02:32
43,1,4,578,249386426.74496749,04:05:45
44,1,1,579,211450153.73932007,04:10:29
45,1,2,579,274091860.09200418,04:17:09
46,1,3,579,270270893.88593119,04:24:48
47,1,4,579,245748447.24160084,04:27:58
48,1,1,580,215632505.5253503,04:32:45
49,1,2,580,274568826.61410099,04:39:14
50,1,3,580,271309649.99252373,04:46:52
51,1,4,580,247668423.07396412,04:50:01
52,1,1,581,220364184.2925618,04:54:48
53,1,2,581,275514203.5945946,05:01:16
54,1,3,581,271823005.02932382,05:08:55
55,1,4,581,241783464.23950303,05:12:10
56,1,1,582,184042824.02567109,05:16:58
57,1,2,582,266838891.26895532,05:23:40
