simmulate_count,hull_id,engine_id,propeller_id,NPV
0,1,1,229,195253609.42087245,00:04:45
1,1,2,229,269286673.06052285,00:11:24
2,1,3,229,266891541.47493842,00:19:08
3,1,4,229,250712556.93570131,00:22:21
4,1,1,230,197234646.4271014,00:27:06
5,1,2,230,269359195.83218771,00:33:45
6,1,3,230,269219579.44816697,00:41:30
7,1,4,230,252571941.43583912,00:44:38
8,1,1,231,201861021.70111308,00:49:23
9,1,2,231,273244754.12719721,00:55:59
10,1,3,231,269245665.536327,01:03:43
11,1,4,231,248613776.41587231,01:06:54
12,1,1,232,171298177.84990177,01:11:40
13,1,2,232,261737341.11962256,01:18:19
14,1,3,232,273320427.41776228,01:26:30
15,1,4,232,252291317.14745373,01:29:43
16,1,1,233,180038323.60058811,01:34:28
17,1,2,233,262689719.35793251,01:41:07
18,1,3,233,273660706.18110681,01:49:18
19,1,4,233,255613151.11000004,01:52:30
20,1,1,234,185988733.08282432,01:57:15
21,1,2,234,266862538.45682091,02:03:54
22,1,3,234,273495946.46552402,02:11:49
23,1,4,234,252579472.07947174,02:15:02
24,1,1,235,192609053.92323324,02:19:47
25,1,2,235,267847965.19760293,02:26:25
26,1,3,235,273828695.86820799,02:34:20
27,1,4,235,252679782.95113838,02:37:33
28,1,1,236,200953030.12939754,02:42:18
29,1,2,236,272241586.73398256,02:48:57
30,1,3,236,268665951.40267789,02:56:42
31,1,4,236,248426648.43196735,02:59:54
32,1,1,237,202901016.14811093,03:04:40
33,1,2,237,272309777.89104319,03:11:17
34,1,3,237,267791057.54634404,03:19:01
35,1,4,237,251514428.19160417,03:22:14
36,1,1,238,211196954.18658313,03:26:59
37,1,2,238,274091559.71867239,03:33:36
38,1,3,238,270120466.90355587,03:41:12
39,1,4,238,245311936.11706334,03:44:21
40,1,1,239,171298177.84990177,03:49:06
41,1,2,239,261737341.11962256,03:55:42
42,1,3,239,273320427.41776228,04:03:50
43,1,4,239,252291317.14745373,04:07:02
44,1,1,240,176015855.70608184,04:11:46
45,1,2,240,262689719.35793251,04:18:24
46,1,3,240,273660706.18110681,04:26:33
47,1,4,240,255613151.11000004,04:29:44
48,1,1,241,186790177.36745611,04:34:29
49,1,2,241,266862538.45682091,04:41:06
50,1,3,241,273495946.46552402,04:48:59
51,1,4,241,252579472.07947174,04:52:12
52,1,1,242,193393425.5159691,04:56:56
53,1,2,242,267847965.19760293,05:03:34
54,1,3,242,273828695.86820799,05:11:27
55,1,4,242,252713125.39971665,05:14:39
