simmulate_count,hull_id,engine_id,propeller_id,NPV
0,1,1,456,178046466.73325843,00:04:45
1,1,2,456,261190116.67123982,00:11:24
2,1,3,456,272393903.24031973,00:19:22
3,1,4,456,255613151.11000004,00:22:35
4,1,1,457,184797189.64425442,00:27:21
5,1,2,457,265930837.17165321,00:34:01
6,1,3,457,273495946.46552402,00:41:57
7,1,4,457,252608689.5410932,00:45:10
8,1,1,458,188666349.60348645,00:49:55
9,1,2,458,270847613.75375819,00:56:33
10,1,3,458,273828695.86820799,01:04:27
11,1,4,458,252704253.9029355,01:07:39
12,1,1,459,201712887.70686063,01:12:23
13,1,2,459,271733630.36490232,01:19:02
14,1,3,459,268665951.40267789,01:26:48
15,1,4,459,252579426.61733848,01:29:56
16,1,1,460,199972621.31098166,01:34:41
17,1,2,460,273637159.4863832,01:41:19
18,1,3,460,271033980.83275682,01:49:03
19,1,4,460,250703169.02302423,01:52:15
20,1,1,461,208349063.59237179,01:57:00
21,1,2,461,274091860.09200418,02:03:39
22,1,3,461,270270893.88593119,02:11:15
23,1,4,461,246697866.79479551,02:14:23
24,1,1,462,211303251.89019337,02:19:07
25,1,2,462,276294815.31907874,02:25:45
26,1,3,462,270822882.53972149,02:33:20
27,1,4,462,242629737.74950796,02:36:31
28,1,1,463,184758450.17727983,02:41:16
29,1,2,463,265377852.33962357,02:47:54
30,1,3,463,271508544.77616709,02:55:48
31,1,4,463,254677765.81959727,02:59:00
32,1,1,464,195253609.42087245,03:03:45
33,1,2,464,266838891.26895532,03:10:23
34,1,3,464,266814932.7086235,03:18:07
35,1,4,464,248375429.07076803,03:21:19
36,1,1,465,201712887.70686063,03:26:03
37,1,2,465,270844101.29689556,03:32:41
38,1,3,465,275014686.99159396,03:40:33
39,1,4,465,251377947.38485834,03:43:45
40,1,1,466,199972621.31098166,03:48:31
41,1,2,466,273637159.4863832,03:55:12
42,1,3,466,270398561.39770281,04:02:59
43,1,4,466,248575414.315054,04:06:07
44,1,1,467,208349063.59237179,04:10:52
45,1,2,467,274091860.09200418,04:17:31
46,1,3,467,270944185.65101868,04:25:16
47,1,4,467,246529676.60526568,04:28:28
48,1,1,468,211303251.89019337,04:33:13
49,1,2,468,274568826.61410099,04:39:39
50,1,3,468,269368315.68456835,04:47:16
51,1,4,468,245763235.13285837,04:50:28
52,1,1,469,219973878.42914155,04:55:13
53,1,2,469,276294815.31907874,05:01:51
54,1,3,469,269923897.5154888,05:09:27
55,1,4,469,243047826.9599874,05:12:35
56,1,1,470,179160315.04666534,05:17:20
57,1,2,470,265377852.33962357,05:23:58
58,1,3,470,271508544.77616709,05:31:53
59,1,4,470,254677765.81959727,05:35:05
60,1,1,471,191378569.88824973,05:39:50
61,1,2,471,266838891.26895532,05:46:28
62,1,3,471,266814932.7086235,05:54:12
63,1,4,471,248375429.07076803,05:57:24
64,1,1,472,196401180.386078,06:02:08
65,1,2,472,270844101.29689556,06:08:47
66,1,3,472,269278936.6654532,06:16:32
67,1,4,472,251377947.38485834,06:19:44
68,1,1,473,199972621.31098166,06:24:30
69,1,2,473,273157180.21817523,06:31:09
70,1,3,473,270398561.39770281,06:38:53
71,1,4,473,248308856.45273989,06:42:02
72,1,1,474,208349063.59237179,06:46:46
73,1,2,474,274091860.09200418,06:53:26
74,1,3,474,270944185.65101868,07:01:09
75,1,4,474,246529676.60526568,07:04:21
76,1,1,475,211303251.89019337,07:09:06
77,1,2,475,275382943.95117474,07:15:44
78,1,3,475,269368315.68456835,07:23:21
79,1,4,475,245763235.13285837,07:26:33
80,1,1,476,219973878.42914155,07:31:17
