simmulate_count,hull_id,engine_id,propeller_id,NPV
0,1,1,512,182104851.24924496,00:04:44
1,1,2,512,265297916.48214537,00:11:22
2,1,3,512,272019598.85088664,00:19:17
3,1,4,512,254677765.81959727,00:22:29
4,1,1,513,187914084.95907766,00:27:13
5,1,2,513,266838891.26895532,00:33:52
6,1,3,513,268939277.90002352,00:41:36
7,1,4,513,248375429.07076803,00:44:48
8,1,1,514,194523793.56831318,00:49:33
9,1,2,514,270844101.29689556,00:56:10
10,1,3,514,269278936.6654532,01:03:53
11,1,4,514,251407374.40064141,01:07:04
12,1,1,515,201814523.33880639,01:11:48
13,1,2,515,271801122.07099998,01:18:25
14,1,3,515,270398561.39770281,01:26:08
15,1,4,515,248308856.45273989,01:29:16
16,1,1,516,209937485.44662955,01:34:00
17,1,2,516,276110355.17965752,01:40:38
18,1,3,516,270944185.65101868,01:48:19
19,1,4,516,246529676.60526568,01:51:31
20,1,1,517,213104647.9866668,01:56:15
21,1,2,517,275382943.95117474,02:02:53
22,1,3,517,269368315.68456835,02:10:29
23,1,4,517,250689195.30531788,02:13:38
24,1,1,518,216795436.57644808,02:18:21
25,1,2,518,276294815.31907874,02:24:59
26,1,3,518,270411613.62790269,02:32:35
27,1,4,518,242824027.05555364,02:35:42
28,1,1,519,182104851.24924496,02:40:26
29,1,2,519,265297916.48214537,02:47:05
30,1,3,519,271508544.77616709,02:54:59
31,1,4,519,254677765.81959727,02:58:10
32,1,1,520,188713787.65426573,03:02:54
33,1,2,520,266838891.26895532,03:09:32
34,1,3,520,268939277.90002352,03:17:16
35,1,4,520,248375429.07076803,03:20:27
36,1,1,521,195306555.03862321,03:25:11
37,1,2,521,270844101.29689556,03:31:49
38,1,3,521,269278936.6654532,03:39:33
39,1,4,521,251407374.40064141,03:42:46
40,1,1,522,201893521.43950009,03:47:30
41,1,2,522,271801122.07099998,03:54:09
42,1,3,522,270398561.39770281,04:01:53
43,1,4,522,248575414.315054,04:05:00
44,1,1,523,209937485.44662955,04:09:45
45,1,2,523,274091860.09200418,04:16:24
46,1,3,523,270944185.65101868,04:24:07
47,1,4,523,250584994.70149437,04:27:15
48,1,1,524,213815956.66090837,04:31:59
49,1,2,524,275382943.95117474,04:38:38
50,1,3,524,269368315.68456835,04:46:14
51,1,4,524,250689195.30531788,04:49:21
52,1,1,525,216795436.57644808,04:54:05
53,1,2,525,276294815.31907874,05:00:44
54,1,3,525,270411613.62790269,05:08:20
55,1,4,525,242824027.05555364,05:11:28
56,1,1,526,182782555.38218793,05:16:12
57,1,2,526,265930837.17165321,05:22:50
58,1,3,526,271508544.77616709,05:30:45
59,1,4,526,254677765.81959727,05:33:56
60,1,1,527,188795002.57850981,05:38:40
61,1,2,527,266838891.26895532,05:45:17
62,1,3,527,268939277.90002352,05:53:00
63,1,4,527,248375429.07076803,05:56:12
64,1,1,528,195386635.14827177,06:00:55
65,1,2,528,270844101.29689556,06:07:32
66,1,3,528,269278936.6654532,06:15:14
67,1,4,528,251407374.40064141,06:18:25
68,1,1,529,203609528.57460079,06:23:08
69,1,2,529,271801122.07099998,06:29:46
70,1,3,529,270398561.39770281,06:37:28
71,1,4,529,248575414.315054,06:40:35
72,1,1,530,204903121.56398779,06:45:18
73,1,2,530,274091860.09200418,06:51:55
74,1,3,530,270944185.65101868,06:59:37
75,1,4,530,250584994.70149437,07:02:44
76,1,1,531,213728527.35934007,07:07:29
77,1,2,531,275382943.95117474,07:14:07
78,1,3,531,269368315.68456835,07:21:42
79,1,4,531,250689195.30531788,07:24:49
80,1,1,532,214046197.06152251,07:29:33
81,1,2,532,276294815.31907874,07:36:10
82,1,3,532,270411613.62790269,07:43:47
83,1,4,532,242824027.05555364,07:46:54
84,1,1,533,180006457.50202602,07:51:38
85,1,2,533,265930837.17165321,07:58:18
86,1,3,533,271508544.77616709,08:06:16
87,1,4,533,254648472.12823451,08:09:27
88,1,1,534,189587429.84115306,08:14:11
89,1,2,534,266838891.26895532,08:20:48
90,1,3,534,268939277.90002352,08:28:32
91,1,4,534,248375429.07076803,08:31:43
92,1,1,535,195386635.14827177,08:36:28
93,1,2,535,271352033.48042315,08:43:06
94,1,3,535,269278936.6654532,08:50:50
95,1,4,535,251377947.38485834,08:54:03
96,1,1,536,203609528.57460079,08:58:48
97,1,2,536,271801122.07099998,09:05:27
98,1,3,536,270398561.39770281,09:13:10
99,1,4,536,248575414.315054,09:16:17
100,1,1,537,205638323.7893815,09:21:01
101,1,2,537,274091860.09200418,09:27:40
102,1,3,537,270944185.65101868,09:35:25
103,1,4,537,250584994.70149437,09:38:33
104,1,1,538,213728527.35934007,09:43:19
105,1,2,538,274091860.09200418,09:49:57
106,1,3,538,269368315.68456835,09:57:31
107,1,4,538,250689195.30531788,10:00:38
108,1,1,539,215004179.25488836,10:05:21
109,1,2,539,276294815.31907874,10:11:59
110,1,3,539,269923897.5154888,10:19:35
111,1,4,539,242824027.05555364,10:22:42
112,1,1,540,191483865.34055772,10:27:26
113,1,2,540,266838891.26895532,10:34:03
114,1,3,540,273495946.46552402,10:41:55
115,1,4,540,250613234.1315577,10:45:07
116,1,1,541,197151658.49498969,10:49:50
117,1,2,541,271352033.48042315,10:56:28
118,1,3,541,268060089.30538946,11:04:11
119,1,4,541,253238594.45223665,11:07:23
120,1,1,542,198413521.45353916,11:12:07
121,1,2,542,271733630.36490232,11:18:44
122,1,3,542,269201612.61423343,11:26:27
123,1,4,542,246365823.71227345,11:29:38
124,1,1,543,206741374.98274231,11:34:23
125,1,2,543,273157180.21817523,11:41:00
126,1,3,543,268990807.22128761,11:48:43
127,1,4,543,249386426.74496749,11:51:55
128,1,1,544,210807694.37173751,11:56:39
129,1,2,544,274091860.09200418,12:03:16
130,1,3,544,270077037.76797652,12:11:00
131,1,4,544,245748447.24160084,12:14:07
132,1,1,545,215004179.25488836,12:18:51
133,1,2,545,274568826.61410099,12:25:17
134,1,3,545,271309649.99252373,12:32:52
