Date,Ship number,source,https://www.jsanet.or.jp/data/pdf/2018data50-1.pdf
2004/12/1,3295,7239,13450.83333
2005/12/1,3563,8178,3837.220692
2006/12/1,3922,9519,13515
2007/12/1,4303,10821,
2008/12/1,4659,12141,
2009/12/1,4747,12938,
2010/12/1,4905,14092,
2011/12/1,5056,15319,
2012/12/1,5060,16196,
2013/12/1,5082,17135,
2014/12/1,5103,18141,
2015/12/1,5214,19691,
